model,data,size,train_ratio,noise_add,noise_rm,avg_acc,std_acc,avg_time
pale,ppi,5,0.2,0.0,0.0,0.8108516483516484,0.05608804288368778,54.56319961547852
pale,ppi,5,0.2,0.05,0.0,0.7053571428571428,0.05652768775701166,53.448128414154056
pale,ppi,5,0.2,0.1,0.0,0.5895604395604396,0.051399329528282835,54.44474935531616
pale,ppi,5,0.2,0.2,0.0,0.4729395604395604,0.0743328618507575,57.01188411712646
pale,ppi,5,0.2,0.25,0.0,0.4174450549450549,0.031061577222017914,58.29418692588806
pale,ppi,5,0.2,0.0,0.0,0.7983516483516484,0.032151661234381325,51.77075147628784
pale,ppi,5,0.2,0.0,0.05,0.7888736263736262,0.025442141420825504,50.73847408294678
pale,ppi,5,0.2,0.0,0.1,0.729532967032967,0.06847413806412732,49.306844997406
pale,ppi,5,0.2,0.0,0.2,0.5913461538461539,0.0378308773459352,46.998494720458986
pale,ppi,5,0.2,0.0,0.25,0.5251373626373625,0.060675737352325586,45.40652713775635
pale,ppi,5,0.8,0.0,0.0,0.845054945054945,0.0514433622010788,52.06486411094666
pale,ppi,5,0.8,0.05,0.0,0.6901098901098901,0.04207514223972889,53.1906717300415
pale,ppi,5,0.8,0.1,0.0,0.6456043956043955,0.06157769549943693,54.791940212249756
pale,ppi,5,0.8,0.2,0.0,0.4703296703296703,0.04458343467055121,60.66481523513794
pale,ppi,5,0.8,0.25,0.0,0.4593406593406593,0.09170064652903892,79.82497177124023
pale,ppi,5,0.8,0.0,0.0,0.8664835164835164,0.022426738057097315,68.54004082679748
pale,ppi,5,0.8,0.0,0.05,0.8214285714285714,0.03369166970715581,52.7689766407013
pale,ppi,5,0.8,0.0,0.1,0.7763736263736264,0.03225419806909709,52.84889106750488
pale,ppi,5,0.8,0.0,0.2,0.6785714285714286,0.05664939085178901,53.42240567207337
pale,ppi,5,0.8,0.0,0.25,0.6956043956043957,0.02484099902298311,48.3748254776001
