model,data,size,train_ratio,noise_add,noise_rm,avg_acc,std_acc,avg_time
shared_gine_sgm,ppi,5,0.2,0.0,0.0,0.9906593406593407,0.006028326444365856,13.684605693817138
shared_gine_sgm,ppi,5,0.2,0.05,0.0,0.44752747252747255,0.26649930563851093,13.935324954986573
shared_gine_sgm,ppi,5,0.2,0.1,0.0,0.16854395604395606,0.07367248842859812,14.206128787994384
shared_gine_sgm,ppi,5,0.2,0.2,0.0,0.018681318681318677,0.005914574214728293,14.778295707702636
shared_gine_sgm,ppi,5,0.2,0.25,0.0,0.009615384615384614,0.0030715219471150954,15.071364593505859
shared_gine_sgm,ppi,5,0.2,0.0,0.0,0.9875,0.0076158880635324964,13.665908718109131
shared_gine_sgm,ppi,5,0.2,0.0,0.05,0.4811813186813187,0.21049971524240982,13.467107582092286
shared_gine_sgm,ppi,5,0.2,0.0,0.1,0.38722527472527474,0.13603853577052208,13.166387033462524
shared_gine_sgm,ppi,5,0.2,0.0,0.2,0.03956043956043956,0.01324392394856478,12.596688795089722
shared_gine_sgm,ppi,5,0.2,0.0,0.25,0.01771978021978022,0.007103122787828515,12.312124824523925
shared_gine_sgm,ppi,5,0.8,0.0,0.0,0.9950549450549451,0.0032038197224424614,20.290615272521972
shared_gine_sgm,ppi,5,0.8,0.05,0.0,0.193956043956044,0.04359743829643378,20.587882375717165
shared_gine_sgm,ppi,5,0.8,0.1,0.0,0.09890109890109891,0.04996678041489959,20.83556547164917
shared_gine_sgm,ppi,5,0.8,0.2,0.0,0.010439560439560439,0.004726552344528916,21.98730969429016
shared_gine_sgm,ppi,5,0.8,0.25,0.0,0.006593406593406593,0.002197802197802198,23.344683599472045
shared_gine_sgm,ppi,5,0.8,0.0,0.0,0.9945054945054945,0.007573653160489147,23.219403648376463
shared_gine_sgm,ppi,5,0.8,0.0,0.05,0.701098901098901,0.25707827685337353,24.01907796859741
shared_gine_sgm,ppi,5,0.8,0.0,0.1,0.23571428571428577,0.10589438862986024,24.21782159805298
shared_gine_sgm,ppi,5,0.8,0.0,0.2,0.048351648351648346,0.019238616923089667,24.29990234375
shared_gine_sgm,ppi,5,0.8,0.0,0.25,0.024175824175824177,0.01062586791528226,23.844851350784303
